"","Correct","Wrong","Test.image.count","Accuracy","Detect.Accuracy","FPS","Radius","Neighbours","Scale","Cascade","Single","Dataset","eval"
"1",69,181,250,0.283135002051703,0.999,0.251293549499828,1,1,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0711499996532134
"2",109,141,250,0.447271235125154,0.999,0.215936529837875,1,3,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0965821984092261
"3",128,122,250,0.525235945835043,0.999,0.194032424974129,1,5,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.101912804253954
"4",129,121,250,0.529339351661879,0.999,0.115039668851328,1,7,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0608950237251593
"5",129,121,250,0.529339351661879,0.999,0.0108658157985512,1,9,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00575170389008251
"6",72,178,250,0.295445219532212,0.999,0.23542600896861,3,1,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0695554889033234
"7",115,135,250,0.471891670086172,0.999,0.223525353570197,3,3,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.105479752402842
"8",127,123,250,0.521132540008207,0.999,0.198344256640221,3,5,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.103363646258958
"9",136,114,250,0.558063192449733,0.999,0.135219041048637,3,7,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0754607697275942
"10",141,109,250,0.578580221583915,0.999,0.0153501207312867,3,9,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00888127625404767
"11",77,173,250,0.315962248666393,0.999,0.234391169368748,5,1,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.074058760941295
"12",110,140,250,0.45137464095199,0.999,0.218696102104174,5,3,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0987138745648713
"13",128,122,250,0.525235945835043,0.999,0.195239737840635,5,5,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.102546928369312
"14",135,115,250,0.553959786622897,0.999,0.129010003449465,5,7,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.071466353983085
"15",145,105,250,0.59499384489126,0.999,0.0120731286650569,5,9,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0071834372442891
"16",73,177,250,0.299548625359048,0.999,0.235770955501897,7,1,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0706248656201826
"17",115,135,250,0.471891670086172,0.999,0.224732666436702,7,3,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.106049473287734
"18",129,121,250,0.529339351661879,0.999,0.193687478440842,7,5,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.102526404262899
"19",138,112,250,0.566270004103406,0.999,0.120558813383926,7,7,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0682688397496172
"20",146,104,250,0.599097250718096,0.999,0.0105208692652639,7,9,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00630302385198411
"21",79,171,250,0.324169060320066,0.999,0.236460848568472,8,1,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0766532910829269
"22",118,132,250,0.48420188756668,0.999,0.222490513970335,8,3,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.107730326830117
"23",135,115,250,0.553959786622897,0.999,0.197999310106933,8,5,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.109683655578318
"24",139,111,250,0.570373409930242,0.999,0.117109348051052,8,7,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0667960581825861
"25",146,104,250,0.599097250718096,0.999,0.0110382890651949,8,9,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00661300863158988
"26",69,181,250,0.283135002051703,0.999,0.23542600896861,10,1,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0666573435323516
"27",118,132,250,0.48420188756668,0.999,0.219730941704036,10,3,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.106394136729898
"28",129,121,250,0.529339351661879,0.999,0.195929630907209,10,5,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.103713263795774
"29",136,114,250,0.558063192449733,0.999,0.10762331838565,10,7,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0600606126403301
"30",150,100,250,0.615510874025441,0.999,0.0108658157985512,10,9,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00668802777916571
"31",75,175,250,0.307755437012721,0.999,0.241635046567782,20,1,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0743644993540568
"32",119,131,250,0.488305293393517,0.999,0.223525353570197,20,3,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.109148613355984
"33",132,118,250,0.541649569142388,0.999,0.187650914108313,20,5,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.101641036775943
"34",137,113,250,0.56216659827657,0.999,0.0910658847878579,20,7,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0511941986702361
"35",148,102,250,0.607304062371768,0.999,0.0165574335977923,20,9,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0100553966863901
"36",73,177,250,0.299548625359048,0.999,0.236978268368403,30,1,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0709865145297227
"37",105,145,250,0.430857611817809,0.999,0.2302518109693,30,3,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.099205745390958
"38",124,126,250,0.508822322527698,0.999,0.178854777509486,30,5,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0910053032875514
"39",124,126,250,0.508822322527698,0.999,0.0905484649879269,30,7,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0460730802564749
"40",132,118,250,0.541649569142388,0.999,0.0239737840634702,30,9,1,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0129853898086913
"41",69,181,250,0.283135002051703,1,0.17902725077613,1,1,1,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0506888810158102
"42",114,136,250,0.467788264259335,1,0.17057606071059,1,3,1,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0797934793640018
"43",123,127,250,0.504718916700862,1,0.15367368057951,1,5,1,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0775620135875246
"44",106,144,250,0.434961017644645,1,0.0841669541221111,1,7,1,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0366093440170036
"45",91,159,250,0.373409930242101,1,0.0112107623318386,1,9,1,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.00418620998029261
